min_time = 4; max_time = 55040; average_time = 2620; 
min_time = 4; max_time = 55040; average_time = 2627; 
min_time = 4; max_time = 55040; average_time = 2618; 
min_time = 4; max_time = 55040; average_time = 2609; 
min_time = 4; max_time = 55040; average_time = 2601; 
min_time = 4; max_time = 55040; average_time = 2592; 
min_time = 4; max_time = 55040; average_time = 2583; 
min_time = 4; max_time = 55040; average_time = 2575; 
min_time = 4; max_time = 55040; average_time = 2566; 
min_time = 4; max_time = 55040; average_time = 2558; 
min_time = 4; max_time = 55040; average_time = 2552; 
min_time = 4; max_time = 55040; average_time = 2556; 
min_time = 4; max_time = 55040; average_time = 2548; 
min_time = 4; max_time = 55040; average_time = 2540; 
min_time = 4; max_time = 55040; average_time = 2556; 
min_time = 4; max_time = 55040; average_time = 2547; 
min_time = 4; max_time = 55040; average_time = 2539; 
min_time = 4; max_time = 55040; average_time = 2531; 
min_time = 4; max_time = 55040; average_time = 2524; 
min_time = 4; max_time = 55040; average_time = 2516; 
min_time = 4; max_time = 55040; average_time = 2508; 
min_time = 4; max_time = 55040; average_time = 2500; 
min_time = 4; max_time = 55040; average_time = 2492; 
min_time = 4; max_time = 55040; average_time = 2484; 
min_time = 4; max_time = 55040; average_time = 2477; 
min_time = 4; max_time = 55040; average_time = 2469; 
min_time = 4; max_time = 55040; average_time = 2461; 
min_time = 4; max_time = 55040; average_time = 2454; 
min_time = 4; max_time = 55040; average_time = 2446; 
min_time = 4; max_time = 55040; average_time = 2438; 
min_time = 4; max_time = 55040; average_time = 2431; 
min_time = 4; max_time = 55040; average_time = 2423; 
min_time = 4; max_time = 55040; average_time = 2416; 
min_time = 4; max_time = 55040; average_time = 2409; 
min_time = 4; max_time = 55040; average_time = 2437; 
min_time = 4; max_time = 55040; average_time = 2431; 
min_time = 4; max_time = 55040; average_time = 2423; 
min_time = 4; max_time = 55040; average_time = 2417; 
min_time = 4; max_time = 55040; average_time = 2409; 
min_time = 4; max_time = 55040; average_time = 2422; 
min_time = 4; max_time = 55040; average_time = 2415; 
min_time = 4; max_time = 55040; average_time = 2407; 
min_time = 4; max_time = 55040; average_time = 2406; 
min_time = 4; max_time = 55040; average_time = 2399; 
min_time = 4; max_time = 55040; average_time = 2392; 
min_time = 4; max_time = 55040; average_time = 2385; 
min_time = 4; max_time = 55040; average_time = 2378; 
min_time = 4; max_time = 55040; average_time = 2371; 
