min_time = 4; max_time = 49038; average_time = 2480; current_time = 31; 
min_time = 4; max_time = 49038; average_time = 2462; current_time = 27; 
min_time = 4; max_time = 49038; average_time = 2466; current_time = 2994; 
min_time = 4; max_time = 49038; average_time = 2449; current_time = 26; 
min_time = 4; max_time = 49038; average_time = 2431; current_time = 7; 
min_time = 4; max_time = 49038; average_time = 2414; current_time = 20; 
min_time = 4; max_time = 49038; average_time = 2435; current_time = 5389; 
min_time = 4; max_time = 49038; average_time = 2418; current_time = 4; 
min_time = 4; max_time = 49038; average_time = 2402; current_time = 4; 
min_time = 4; max_time = 49038; average_time = 2462; current_time = 11192; 
min_time = 4; max_time = 49038; average_time = 2446; current_time = 128; 
min_time = 4; max_time = 104265; average_time = 3134; current_time = 104265; 
min_time = 4; max_time = 104265; average_time = 3113; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 3093; current_time = 65; 
min_time = 4; max_time = 104265; average_time = 3072; current_time = 23; 
min_time = 4; max_time = 104265; average_time = 3052; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 3032; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 3013; current_time = 27; 
min_time = 4; max_time = 104265; average_time = 2996; current_time = 425; 
min_time = 4; max_time = 104265; average_time = 2987; current_time = 1580; 
min_time = 4; max_time = 104265; average_time = 2968; current_time = 19; 
min_time = 4; max_time = 104265; average_time = 2949; current_time = 4; 
min_time = 4; max_time = 104265; average_time = 2931; current_time = 39; 
min_time = 4; max_time = 104265; average_time = 2987; current_time = 11910; 
min_time = 4; max_time = 104265; average_time = 2969; current_time = 6; 
min_time = 4; max_time = 104265; average_time = 2950; current_time = 6; 
min_time = 4; max_time = 104265; average_time = 2932; current_time = 26; 
min_time = 4; max_time = 104265; average_time = 2921; current_time = 1143; 
min_time = 4; max_time = 104265; average_time = 2904; current_time = 26; 
min_time = 4; max_time = 104265; average_time = 2887; current_time = 133; 
min_time = 4; max_time = 104265; average_time = 2870; current_time = 35; 
min_time = 4; max_time = 104265; average_time = 2873; current_time = 3317; 
min_time = 4; max_time = 104265; average_time = 2858; current_time = 303; 
min_time = 4; max_time = 104265; average_time = 2841; current_time = 33; 
min_time = 4; max_time = 104265; average_time = 2824; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 2808; current_time = 26; 
min_time = 4; max_time = 104265; average_time = 2792; current_time = 4; 
min_time = 4; max_time = 104265; average_time = 2776; current_time = 23; 
min_time = 4; max_time = 104265; average_time = 2761; current_time = 247; 
min_time = 4; max_time = 104265; average_time = 2746; current_time = 102; 
min_time = 4; max_time = 104265; average_time = 2731; current_time = 100; 
min_time = 4; max_time = 104265; average_time = 2739; current_time = 4136; 
min_time = 4; max_time = 104265; average_time = 2724; current_time = 24; 
min_time = 4; max_time = 104265; average_time = 2709; current_time = 24; 
min_time = 4; max_time = 104265; average_time = 2694; current_time = 24; 
min_time = 4; max_time = 104265; average_time = 2680; current_time = 27; 
min_time = 4; max_time = 104265; average_time = 2697; current_time = 5798; 
min_time = 4; max_time = 104265; average_time = 2701; current_time = 3577; 
min_time = 4; max_time = 104265; average_time = 2692; current_time = 921; 
min_time = 4; max_time = 104265; average_time = 2677; current_time = 22; 
min_time = 4; max_time = 104265; average_time = 2663; current_time = 5; 
min_time = 4; max_time = 104265; average_time = 2649; current_time = 26; 
min_time = 4; max_time = 104265; average_time = 2635; current_time = 19; 
min_time = 4; max_time = 104265; average_time = 2621; current_time = 24; 
min_time = 4; max_time = 104265; average_time = 2656; current_time = 9140; 
min_time = 4; max_time = 104265; average_time = 2642; current_time = 25; 
min_time = 4; max_time = 104265; average_time = 2701; current_time = 14137; 
min_time = 4; max_time = 104265; average_time = 2688; current_time = 33; 
min_time = 4; max_time = 104265; average_time = 2677; current_time = 656; 
min_time = 4; max_time = 104265; average_time = 2664; current_time = 25; 
min_time = 4; max_time = 104265; average_time = 2651; current_time = 208; 
min_time = 4; max_time = 104265; average_time = 2638; current_time = 23; 
min_time = 4; max_time = 104265; average_time = 2631; current_time = 1324; 
min_time = 4; max_time = 104265; average_time = 2618; current_time = 37; 
min_time = 4; max_time = 104265; average_time = 2624; current_time = 3806; 
min_time = 4; max_time = 104265; average_time = 2612; current_time = 84; 
min_time = 4; max_time = 104265; average_time = 2599; current_time = 6; 
