pattern_count = 1; pattern_len = 26; net_len = 8; min_time = 291; max_time = 340; average_time = 304; 
pattern_count = 1; pattern_len = 26; net_len = 13; min_time = 1334; max_time = 1396; average_time = 1352; 
pattern_count = 1; pattern_len = 26; net_len = 18; min_time = 3512; max_time = 3885; average_time = 3604; 
pattern_count = 1; pattern_len = 26; net_len = 23; min_time = 7333; max_time = 7382; average_time = 7353; 
pattern_count = 1; pattern_len = 26; net_len = 28; min_time = 13245; max_time = 13604; average_time = 13436; 
pattern_count = 1; pattern_len = 26; net_len = 33; min_time = 21793; max_time = 22466; average_time = 22085; 
pattern_count = 1; pattern_len = 26; net_len = 38; min_time = 33205; max_time = 34057; average_time = 33602; 
pattern_count = 1; pattern_len = 26; net_len = 43; min_time = 48128; max_time = 49272; average_time = 48764; 
pattern_count = 1; pattern_len = 26; net_len = 48; min_time = 68035; max_time = 68261; average_time = 68137; 
pattern_count = 1; pattern_len = 26; net_len = 53; min_time = 91269; max_time = 91915; average_time = 91602; 
pattern_count = 1; pattern_len = 26; net_len = 58; min_time = 119186; max_time = 120732; average_time = 120171; 
pattern_count = 1; pattern_len = 26; net_len = 63; min_time = 152748; max_time = 154524; average_time = 153294; 
pattern_count = 1; pattern_len = 26; net_len = 68; min_time = 190865; max_time = 193371; average_time = 192190; 
pattern_count = 1; pattern_len = 26; net_len = 73; min_time = 237164; max_time = 238917; average_time = 238010; 
pattern_count = 1; pattern_len = 26; net_len = 78; min_time = 289512; max_time = 292319; average_time = 290720; 
pattern_count = 1; pattern_len = 26; net_len = 83; min_time = 350598; max_time = 354639; average_time = 352457; 
pattern_count = 1; pattern_len = 26; net_len = 88; min_time = 418472; max_time = 424824; average_time = 421905; 
pattern_count = 1; pattern_len = 26; net_len = 93; min_time = 497231; max_time = 503744; average_time = 500837; 
pattern_count = 1; pattern_len = 26; net_len = 98; min_time = 590473; max_time = 594872; average_time = 591525; 

pattern_count = 1; pattern_len = 29; net_len = 3; min_time = 22; max_time = 30; average_time = 25; 
pattern_count = 1; pattern_len = 29; net_len = 8; min_time = 384; max_time = 429; average_time = 404; 
pattern_count = 1; pattern_len = 29; net_len = 13; min_time = 1635; max_time = 1745; average_time = 1693; 
pattern_count = 1; pattern_len = 29; net_len = 18; min_time = 4422; max_time = 4525; average_time = 4482; 
pattern_count = 1; pattern_len = 29; net_len = 23; min_time = 9120; max_time = 9467; average_time = 9324; 
pattern_count = 1; pattern_len = 29; net_len = 28; min_time = 16526; max_time = 16944; average_time = 16736; 
pattern_count = 1; pattern_len = 29; net_len = 33; min_time = 27023; max_time = 27718; average_time = 27353; 
pattern_count = 1; pattern_len = 29; net_len = 38; min_time = 41200; max_time = 42503; average_time = 41792; 
pattern_count = 1; pattern_len = 29; net_len = 43; min_time = 61090; max_time = 61869; average_time = 61487; 
pattern_count = 1; pattern_len = 29; net_len = 48; min_time = 83809; max_time = 85657; average_time = 84955; 
pattern_count = 1; pattern_len = 29; net_len = 53; min_time = 114271; max_time = 139356; average_time = 125278; 
pattern_count = 1; pattern_len = 29; net_len = 58; min_time = 149466; max_time = 173186; average_time = 156033; 
pattern_count = 1; pattern_len = 29; net_len = 63; min_time = 192218; max_time = 196524; average_time = 193999; 
pattern_count = 1; pattern_len = 29; net_len = 68; min_time = 234059; max_time = 246764; average_time = 237891; 
pattern_count = 1; pattern_len = 29; net_len = 73; min_time = 299012; max_time = 305243; average_time = 300884; 
pattern_count = 1; pattern_len = 29; net_len = 78; min_time = 365053; max_time = 369796; average_time = 367789; 
pattern_count = 1; pattern_len = 29; net_len = 83; min_time = 444641; max_time = 450339; average_time = 447730; 

pattern_count = 1; pattern_len = 32; net_len = 3; min_time = 2710; max_time = 3014; average_time = 2862; 
pattern_count = 1; pattern_len = 32; net_len = 8; min_time = 54344; max_time = 55609; average_time = 54976; 
pattern_count = 1; pattern_len = 32; net_len = 13; min_time = 202805; max_time = 213879; average_time = 208342; 
pattern_count = 1; pattern_len = 32; net_len = 18; min_time = 560324; max_time = 575686; average_time = 568005; 
pattern_count = 1; pattern_len = 32; net_len = 23; min_time = 1184441; max_time = 1195849; average_time = 1190145; 
pattern_count = 1; pattern_len = 32; net_len = 28; min_time = 2154618; max_time = 2162020; average_time = 2158319; 
pattern_count = 1; pattern_len = 32; net_len = 33; min_time = 3627367; max_time = 3656567; average_time = 3641967; 
pattern_count = 1; pattern_len = 32; net_len = 38; min_time = 5430176; max_time = 5641738; average_time = 5535957; 

