pattern_count = 1; pattern_len = 15; net_len = 100; min_time = 249936; max_time = 253418; average_time = 251618; 

pattern_count = 1; pattern_len = 18; net_len = 5; min_time = 2030; max_time = 2205; average_time = 2100; 
pattern_count = 1; pattern_len = 18; net_len = 10; min_time = 1996; max_time = 2130; average_time = 2054; 
pattern_count = 1; pattern_len = 18; net_len = 15; min_time = 1936; max_time = 2284; average_time = 2130; 
pattern_count = 1; pattern_len = 18; net_len = 20; min_time = 2748; max_time = 2870; average_time = 2801; 
pattern_count = 1; pattern_len = 18; net_len = 25; min_time = 5290; max_time = 5847; average_time = 5528; 
pattern_count = 1; pattern_len = 18; net_len = 30; min_time = 9212; max_time = 9969; average_time = 9502; 
pattern_count = 1; pattern_len = 18; net_len = 35; min_time = 15032; max_time = 15847; average_time = 15244; 
pattern_count = 1; pattern_len = 18; net_len = 40; min_time = 22436; max_time = 22984; average_time = 22665; 
pattern_count = 1; pattern_len = 18; net_len = 45; min_time = 31035; max_time = 32170; average_time = 31568; 
pattern_count = 1; pattern_len = 18; net_len = 50; min_time = 43443; max_time = 44967; average_time = 43904; 
pattern_count = 1; pattern_len = 18; net_len = 55; min_time = 58539; max_time = 59209; average_time = 58893; 
pattern_count = 1; pattern_len = 18; net_len = 60; min_time = 76213; max_time = 76967; average_time = 76590; 
pattern_count = 1; pattern_len = 18; net_len = 65; min_time = 94758; max_time = 97353; average_time = 95983; 
pattern_count = 1; pattern_len = 18; net_len = 70; min_time = 118261; max_time = 120081; average_time = 118988; 
pattern_count = 1; pattern_len = 18; net_len = 75; min_time = 145062; max_time = 148893; average_time = 147347; 
pattern_count = 1; pattern_len = 18; net_len = 80; min_time = 177665; max_time = 180235; average_time = 179102; 
pattern_count = 1; pattern_len = 18; net_len = 85; min_time = 212161; max_time = 214606; average_time = 213285; 
pattern_count = 1; pattern_len = 18; net_len = 90; min_time = 251192; max_time = 259327; average_time = 253805; 
pattern_count = 1; pattern_len = 18; net_len = 95; min_time = 299396; max_time = 304270; average_time = 301794; 
pattern_count = 1; pattern_len = 18; net_len = 100; min_time = 348441; max_time = 360124; average_time = 354619; 

pattern_count = 1; pattern_len = 21; net_len = 5; min_time = 4361; max_time = 4709; average_time = 4482; 
pattern_count = 1; pattern_len = 21; net_len = 10; min_time = 4254; max_time = 4473; average_time = 4389; 
pattern_count = 1; pattern_len = 21; net_len = 15; min_time = 4416; max_time = 4703; average_time = 4491; 
pattern_count = 1; pattern_len = 21; net_len = 20; min_time = 4270; max_time = 4463; average_time = 4337; 
pattern_count = 1; pattern_len = 21; net_len = 25; min_time = 7190; max_time = 7804; average_time = 7413; 
pattern_count = 1; pattern_len = 21; net_len = 30; min_time = 12610; max_time = 12998; average_time = 12708; 
pattern_count = 1; pattern_len = 21; net_len = 35; min_time = 19789; max_time = 20744; average_time = 20168; 
pattern_count = 1; pattern_len = 21; net_len = 40; min_time = 30079; max_time = 30612; average_time = 30395; 
pattern_count = 1; pattern_len = 21; net_len = 45; min_time = 42755; max_time = 43803; average_time = 43303; 
pattern_count = 1; pattern_len = 21; net_len = 50; min_time = 59098; max_time = 59760; average_time = 59439; 
pattern_count = 1; pattern_len = 21; net_len = 55; min_time = 78281; max_time = 79753; average_time = 79246; 
pattern_count = 1; pattern_len = 21; net_len = 60; min_time = 100677; max_time = 102133; average_time = 101346; 
pattern_count = 1; pattern_len = 21; net_len = 65; min_time = 127894; max_time = 130354; average_time = 128730; 
pattern_count = 1; pattern_len = 21; net_len = 70; min_time = 159392; max_time = 162667; average_time = 161010; 
pattern_count = 1; pattern_len = 21; net_len = 75; min_time = 196550; max_time = 201594; average_time = 198715; 
pattern_count = 1; pattern_len = 21; net_len = 80; min_time = 240759; max_time = 244169; average_time = 242917; 
pattern_count = 1; pattern_len = 21; net_len = 85; min_time = 297159; max_time = 452034; average_time = 386878; 
pattern_count = 1; pattern_len = 21; net_len = 90; min_time = 368791; max_time = 435516; average_time = 399103; 
pattern_count = 1; pattern_len = 21; net_len = 95; min_time = 418183; max_time = 539636; average_time = 458019; 
pattern_count = 1; pattern_len = 21; net_len = 100; min_time = 470707; max_time = 487656; average_time = 481045; 

pattern_count = 1; pattern_len = 24; net_len = 5; min_time = 8681; max_time = 9332; average_time = 8994; 
pattern_count = 1; pattern_len = 24; net_len = 10; min_time = 8687; max_time = 9059; average_time = 8816; 
pattern_count = 1; pattern_len = 24; net_len = 15; min_time = 8450; max_time = 8703; average_time = 8624; 
pattern_count = 1; pattern_len = 24; net_len = 20; min_time = 8378; max_time = 8757; average_time = 8488; 
pattern_count = 1; pattern_len = 24; net_len = 25; min_time = 9451; max_time = 9722; average_time = 9542; 
pattern_count = 1; pattern_len = 24; net_len = 30; min_time = 16429; max_time = 17848; average_time = 16948; 
pattern_count = 1; pattern_len = 24; net_len = 35; min_time = 26072; max_time = 33358; average_time = 29471; 
pattern_count = 1; pattern_len = 24; net_len = 40; min_time = 39042; max_time = 40615; average_time = 39930; 
pattern_count = 1; pattern_len = 24; net_len = 45; min_time = 55663; max_time = 56737; average_time = 56296; 
pattern_count = 1; pattern_len = 24; net_len = 50; min_time = 76607; max_time = 77871; average_time = 77256; 
pattern_count = 1; pattern_len = 24; net_len = 55; min_time = 101936; max_time = 103082; average_time = 102582; 
pattern_count = 1; pattern_len = 24; net_len = 60; min_time = 132012; max_time = 135902; average_time = 133699; 
pattern_count = 1; pattern_len = 24; net_len = 65; min_time = 166865; max_time = 169460; average_time = 168226; 
pattern_count = 1; pattern_len = 24; net_len = 70; min_time = 209031; max_time = 219014; average_time = 212910; 
pattern_count = 1; pattern_len = 24; net_len = 75; min_time = 257719; max_time = 264133; average_time = 260285; 
pattern_count = 1; pattern_len = 24; net_len = 80; min_time = 313122; max_time = 322043; average_time = 315971; 
