pattern_count = 1; pattern_len = 21; net_len = 40; min_time = 535; max_time = 793; average_time = 661; 
pattern_count = 1; pattern_len = 21; net_len = 45; min_time = 642; max_time = 1116; average_time = 903; 
pattern_count = 1; pattern_len = 21; net_len = 50; min_time = 882; max_time = 1173; average_time = 1022; 
pattern_count = 1; pattern_len = 21; net_len = 55; min_time = 955; max_time = 1476; average_time = 1187; 
pattern_count = 1; pattern_len = 21; net_len = 60; min_time = 1196; max_time = 1858; average_time = 1427; 
pattern_count = 1; pattern_len = 21; net_len = 65; min_time = 1333; max_time = 1872; average_time = 1544; 
pattern_count = 1; pattern_len = 21; net_len = 70; min_time = 1644; max_time = 2761; average_time = 1995; 
pattern_count = 1; pattern_len = 21; net_len = 75; min_time = 1917; max_time = 3145; average_time = 2183; 
pattern_count = 1; pattern_len = 21; net_len = 80; min_time = 2252; max_time = 3421; average_time = 2716; 
pattern_count = 1; pattern_len = 21; net_len = 85; min_time = 2444; max_time = 3493; average_time = 2844; 
pattern_count = 1; pattern_len = 21; net_len = 90; min_time = 2571; max_time = 3622; average_time = 3092; 
pattern_count = 1; pattern_len = 21; net_len = 95; min_time = 3104; max_time = 4469; average_time = 3499; 
pattern_count = 1; pattern_len = 21; net_len = 100; min_time = 3311; max_time = 4915; average_time = 3916; 

pattern_count = 1; pattern_len = 24; net_len = 5; min_time = 241; max_time = 336; average_time = 295; 
pattern_count = 1; pattern_len = 24; net_len = 10; min_time = 232; max_time = 368; average_time = 298; 
pattern_count = 1; pattern_len = 24; net_len = 15; min_time = 258; max_time = 347; average_time = 294; 
pattern_count = 1; pattern_len = 24; net_len = 20; min_time = 209; max_time = 340; average_time = 289; 
pattern_count = 1; pattern_len = 24; net_len = 25; min_time = 249; max_time = 380; average_time = 291; 
pattern_count = 1; pattern_len = 24; net_len = 30; min_time = 343; max_time = 695; average_time = 479; 
pattern_count = 1; pattern_len = 24; net_len = 35; min_time = 481; max_time = 787; average_time = 640; 
pattern_count = 1; pattern_len = 24; net_len = 40; min_time = 627; max_time = 902; average_time = 762; 
pattern_count = 1; pattern_len = 24; net_len = 45; min_time = 850; max_time = 1084; average_time = 953; 
pattern_count = 1; pattern_len = 24; net_len = 50; min_time = 1096; max_time = 1765; average_time = 1367; 
pattern_count = 1; pattern_len = 24; net_len = 55; min_time = 1324; max_time = 1721; average_time = 1482; 
pattern_count = 1; pattern_len = 24; net_len = 60; min_time = 1508; max_time = 2240; average_time = 1827; 
pattern_count = 1; pattern_len = 24; net_len = 65; min_time = 1613; max_time = 2232; average_time = 1992; 
pattern_count = 1; pattern_len = 24; net_len = 70; min_time = 2229; max_time = 2875; average_time = 2444; 
pattern_count = 1; pattern_len = 24; net_len = 75; min_time = 2281; max_time = 3426; average_time = 2790; 
pattern_count = 1; pattern_len = 24; net_len = 80; min_time = 2867; max_time = 3663; average_time = 3182; 
pattern_count = 1; pattern_len = 24; net_len = 85; min_time = 2880; max_time = 3771; average_time = 3385; 
pattern_count = 1; pattern_len = 24; net_len = 90; min_time = 3634; max_time = 4875; average_time = 4065; 
pattern_count = 1; pattern_len = 24; net_len = 95; min_time = 4101; max_time = 5453; average_time = 4940; 
pattern_count = 1; pattern_len = 24; net_len = 100; min_time = 4081; max_time = 5721; average_time = 4883; 

pattern_count = 1; pattern_len = 27; net_len = 5; min_time = 329; max_time = 571; average_time = 447; 
pattern_count = 1; pattern_len = 27; net_len = 10; min_time = 349; max_time = 562; average_time = 440; 
pattern_count = 1; pattern_len = 27; net_len = 15; min_time = 396; max_time = 553; average_time = 464; 
pattern_count = 1; pattern_len = 27; net_len = 20; min_time = 323; max_time = 533; average_time = 412; 
pattern_count = 1; pattern_len = 27; net_len = 25; min_time = 381; max_time = 536; average_time = 456; 
pattern_count = 1; pattern_len = 27; net_len = 30; min_time = 528; max_time = 745; average_time = 623; 
pattern_count = 1; pattern_len = 27; net_len = 35; min_time = 640; max_time = 787; average_time = 692; 
pattern_count = 1; pattern_len = 27; net_len = 40; min_time = 750; max_time = 1124; average_time = 976; 
pattern_count = 1; pattern_len = 27; net_len = 45; min_time = 970; max_time = 1788; average_time = 1315; 
pattern_count = 1; pattern_len = 27; net_len = 50; min_time = 1278; max_time = 1682; average_time = 1484; 
pattern_count = 1; pattern_len = 27; net_len = 55; min_time = 1478; max_time = 2297; average_time = 1917; 
pattern_count = 1; pattern_len = 27; net_len = 60; min_time = 1900; max_time = 2352; average_time = 2075; 
pattern_count = 1; pattern_len = 27; net_len = 65; min_time = 2047; max_time = 3241; average_time = 2489; 
pattern_count = 1; pattern_len = 27; net_len = 70; min_time = 2344; max_time = 3461; average_time = 2930; 
pattern_count = 1; pattern_len = 27; net_len = 75; min_time = 2570; max_time = 4269; average_time = 3302; 
pattern_count = 1; pattern_len = 27; net_len = 80; min_time = 3078; max_time = 4323; average_time = 3605; 
pattern_count = 1; pattern_len = 27; net_len = 85; min_time = 3438; max_time = 5279; average_time = 4248; 
pattern_count = 1; pattern_len = 27; net_len = 90; min_time = 4274; max_time = 5533; average_time = 4716; 
pattern_count = 1; pattern_len = 27; net_len = 95; min_time = 4359; max_time = 6157; average_time = 5150; 
pattern_count = 1; pattern_len = 27; net_len = 100; min_time = 4826; max_time = 7553; average_time = 6426; 

pattern_count = 1; pattern_len = 30; net_len = 5; min_time = 563; max_time = 706; average_time = 640; 
pattern_count = 1; pattern_len = 30; net_len = 10; min_time = 466; max_time = 818; average_time = 640; 
pattern_count = 1; pattern_len = 30; net_len = 15; min_time = 595; max_time = 1012; average_time = 766; 
pattern_count = 1; pattern_len = 30; net_len = 20; min_time = 536; max_time = 743; average_time = 638; 
pattern_count = 1; pattern_len = 30; net_len = 25; min_time = 589; max_time = 810; average_time = 701; 
pattern_count = 1; pattern_len = 30; net_len = 30; min_time = 507; max_time = 826; average_time = 681; 
pattern_count = 1; pattern_len = 30; net_len = 35; min_time = 701; max_time = 1178; average_time = 883; 
pattern_count = 1; pattern_len = 30; net_len = 40; min_time = 987; max_time = 1494; average_time = 1167; 
pattern_count = 1; pattern_len = 30; net_len = 45; min_time = 1217; max_time = 1896; average_time = 1446; 
pattern_count = 1; pattern_len = 30; net_len = 50; min_time = 1441; max_time = 2363; average_time = 1916; 
